"MOD_CAP","TRAIN","FULL_CAP"
"ponzi scheme wish could smell",0,"@lazercatcannabis Ponzi Scheme🤹🏻‍♂️🤹🏻‍♀️ Wish You Could Smell🥰 ❄️🔥.
.
.
.
.
.
.
. .
.
.
#lazercat#flower#weedofig#nugporn#nugs#herbalife#sunlight#GlassOfIG#GlassGameStrong#Glass#GlassPorn#HeadyGlassArt#FunctionalArt#Art#HeadyArt#FunctionalGlass#Boro#Heady#HeadyGlass#TopShelf#OprahsBookClub#Travel#Quartz#DabOfTheDay#LetsSmoke#HighLife#CleanMeds#Solventless#710#LetsSesh"
"close encounter jerry bear kind 45 message interested",0,"A close encounter of the Jerry bear kind💜🧡
$45 message me if interested!

#bohemian #amputee #sepsissurvivor #bionicwoman #aliens #gratefuldead #cheechandchong #supportlocalartists #acrylicblog #headyart #arttherapy #mindtrip #paintpour #fluidpainting #trippyvibes #acrylicpainting #flourescentpaint #pourart #tranceaddict #creativeenergy #710community #ossur #dirtypour #fluidartfinds #abilitynotdisability #omahaartist #stonernation #abstractart_daily #psychedelic #alienabduction"
"sale pendant 2800 shipped comes stand",0,"For sale @original_gongster pendant for $2800 shipped. Comes with stand.🌀👅"
"got bunch bubblecaps stock lets make deal empty case stores offer 10 retail pricing bubblecap case green yellow caps 35 retail full body half half crushed opal ones 60 retail dm lets make deal free 23 day shipping",0,"Got a bunch of bubblecaps in stock! Let's make a deal before I empty this case at some stores! I can offer you $10 off retail pricing on any bubblecap in this case! The green and yellow caps are only $35 retail while any (full body and half and half) of the crushed opal ones are $60 retail. DM me and let's make a deal! Free 2-3 day shipping!! #glass4sale #glass_of_ig #glass #glassart #glassblown #sherlock #glassblowing #boro #glasspipe #glasslife #glassartist #pipe #glassofig #buyboro #pipesofig #stoner #bho #errl #dabber #carbcap #headyart #bubblecaps #girlswhosmoke #glassopals #opals #opal #bubblecap"
"go follow giving away glass",0,"Go follow @6toof_glass ! He is giving away some glass for his #2kgiveaway #6toofglass #monsterpipe #jointholder #bubblecap #handblownglass #americanmade"
"24 hour auction infinity nectar collector water filtration comes anodized titanium tip leave bids comments artist auction rules starting bid 160 bid increments 10 minimum tag person outbid highest bidder wins free international shipping credit debit card ends monday 830 pm et shipping week optional add handmade parachute necklace 10 247 support available payment due immediately conclusion auction failure pay block",1,"🚨24 Hour Auction🚨
Infinity nectar collector water filtration (comes with anodized titanium tip) Leave your bids in the comments below!
Artist: @leebrodee
👇👇AUCTION RULES👇👇
👉Starting Bid: $160
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Monday 8:30 P.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass"
"bubble cap drop available terps green lunar rays spacetech meta terania shoot us dm secure",0,"@twinkletoesglass bubble cap drop!
Available in Terps, Green lunar rays, Spacetech, Meta Terania. Shoot us a DM to secure yours.
📸:@anthonyeg6
*
*
*
*
#LaTiaSmokeShop #latia #bubblecap #carbcaps #directionalcarbcap #terps #terpsauce #americanmadeglass #boroglass #boroofinstagram #twinkletoes #zach #glassofmass #spacetech #cannabis #710society #oil #420life #boroofinstagram 
#BoroGlass"
"witch finger pendent available dm questions",0,"Witch finger pendent. Available dm me for questions. #heady #headyart #headyglassart #glassblowing #mint #pink #ivory #witchfinger #halloween"
"custom illuminati set finished nfs",0,"Custom Illuminati set that I just finished up!💚🔦 nfs
.
.
.
#sandtimer #illuminatiglass #uvglass  #bubblecap #handmade #glass #carbcap #bubblecaps #glassart #glassofig #glassporn #thousanddollarsmoke #contemporaryart #oprahsbookclub #lowtemp #710 #710society #wasteittotasteit #headyglass #glasslife #420 #art #artlife #dab #dablife #dabstagram #dabbingdaily #heady #jng #jngstudios"
"moving sales incoming layered custom remixed sparkly blue butterfly pendant 120 shipped tricky normally retail 350 gonna make super good deals pieces offer interested comment dibs dm first come first serve three loops back make hang perfectly pendant",1,"Moving sales incoming! Layered custom remixed sparkly blue butterfly pendant, $120 shipped 🦋 these are tricky and normally retail for $350. I’m gonna make some super good deals on pieces and offer them up here. If you’re interested comment dibs and DM me. First come first serve!! The three loops on the back are to make it hang perfectly as a pendant #flamework #flameworking #lampwork #lampworking #glass #glassofig #headyart #glasspendant #pendantsofig #boro #borofauna #butterfly #butterflypendant #borosilicate"
"new lights display cace",0,"New lights from the display cace 
#wire #wirewrappedjewelry #crystalart #gem #gemstones #oneofakind #instagood #artistsoninstagram #collection #gemporn #dmt #love #light #headyart #festivalfashion #festival"
"auction bidding starts 55 increments 5 ends going twice style reserve none bin 150 artist real pinecone info every natural pendant elegant gift mother nature unveiling ornate sacred geometry hidden center world densest pinecone one crosssection taken heart cone every pendant absolutely unique truly oneofakind wwwtheheadykingdomcom link bio custom bangers",1,"💎AUCTION💎 🌡Bidding starts at $55⚖Increments of $5 🕚Ends when it's over💎 going once, twice style✈️Reserve: none B.I.N.: 150🎨 Artist: @Thirdeyepinecones 🌈Real Pinecone MORE INFO: Every “Natural” pendant is an elegant gift from Mother Nature -- unveiling the ornate Sacred Geometry hidden at the center of world’s densest Pinecone.
Because only one cross-section is taken from the “heart” of each Cone, every pendant is absolutely unique, and truly the one-of-a-kind. 🍀💎🔥🦃 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ 🔥www.TheHeadyKingdom.com🔥(link in bio) ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ Custom Bangers: @slightlyirrelephant🐘⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #Theheadykingdom#boroforsale#bangerbuddy #necklace#borosilicate#glassblowing #glassforsale #glass #glassofig#herbertarnold #pendant#recycler#glassforsale#glass4sale #fuckcancer#puffcopeak#boroforsale #guccimane#glasspendant #6star #tokertime#opal#boroglass #necklace#pendantsofig#pendants #puffcopeakattachment"
"sale 700 obo shipped torus grabs color deppes darkness 14mm joint great function nice weight without water comes hard case w spinner cap swipe function",0,"💥FOR SALE💥 $700 obo shipped @kjcustom torus up for grabs, color is deppes darkness, 14mm joint, great function, nice weight without water, comes in a hard case w/ spinner cap, swipe for function #functionalglassart #glassart #glasslife #thousanddollarsmoke #glass #heady #buyglass #glasslife #headyart #recycler #glass_of_ig #kjcustoms #glassforsale #glassofig #mothershipglass #boro4sale #glass4sale #torus #deppesdarkness #needanotherheady"
"35mm ether blue dream fade bubble biggest bangers came dope lmk need",0,"35mm Ether to Blue Dream fade bubble for your biggest bangers💯 came out dope lmk if you need .
.’.
#bubblecap #35mm #heady #spectatorglass"
"satin purple bubble cap glows black light available soon shop set 60",0,"#Illuminati and @greasy_glass satin purple bubble cap, glows in black light. Available soon when my shop is set up for $60.

#boro #glassofig #uvreactive #bubblecap #dabs #710 #satin #greasyglass #northstarglass #glassgamestrong"
"check friends finally got fresh piece bench wanted classy coaster dab mat padauk chosen base couldnt agree choice something fire orange glow",0,"check it out friends, I finally got a fresh piece off the bench.  @jahraffe_extracts wanted a classy coaster for their dab mat from @njeastcoasters.  Padauk was chosen for the base and I couldnt agree on the choice more, something about that fire orange glow.  #skunkwoodz #classystoner #rollingtray #headshop #smokeshops #heady #headyart #710 #420 #glasscommunity #glasscollector #glasslife #710community #dabstagram710 #dabsociety #investinheadies #thousanddollarsmoke #oprahsbookclub #glassart #woodart #headyglass"
"auction pilchuck green double leaf pendant aloha everyone sorry still processing awesome summer vacation recovering well beauty made one demos class last session beautiful place even without glasswork color green everywhere million different shades green tricky make unique glass issues chemistry color tones lack thereof endlessly experiment different layering combinations hope teach class boro color pilchuck someday signed dated pilchuck written show special piece rarely write anything else piece brand new stickers included well bid please note comment state bid bids must placed reply comment keep order dm questions please size 2 wide x 3 tall x 12 deep rules 1 starting bid bids must placed reply bid comment 2 bidding increments least 10 please 3 must 18 years older bid 4 shipping 10 us 5 please let know going ship across border 6 must ready pay immediately paypal exceptions non payment 24 hours closing auction get banned 7 bidding ends call around 24 hours posting photo tag repost hours ending please feel free dm questions happy bidding",1,"Auction! Pilchuck green double leaf pendant 🌿 aloha everyone, sorry it’s been a while! I’m still processing my awesome summer vacation and recovering from it as well 😉 this beauty was made for one of my demos during @vitrovixen’s class at @pilchuckglassschool last session. What a beautiful place even without any glasswork, the color green is everywhere in about a million different shades. Green can be tricky to make unique in glass as it has its own issues in chemistry and color tones or lack thereof so I’ve had to endlessly experiment with different layering combinations. I hope to teach a class about boro color at pilchuck someday! Signed and dated with pilchuck written below to show what a special piece this is for me, I rarely write anything else on a piece. My brand new stickers included as well! To bid please note my comment that will state “Bid Here”, all bids must be placed as a reply to this comment to keep them in order. Dm me with any questions please!!🌿🌈 Size - 2"" wide X 3"" tall X 1/2"" deep

Rules
1️⃣No starting bid, bids must be placed as a reply to my “Bid Here” comment. 
2️⃣Bidding increments of at least $10 please 
3️⃣Must be 18 years or older to bid 
4️⃣Shipping is $10 for US
5️⃣Please let me know if you are going to have me ship this across a border. 
6️⃣Must be ready to pay immediately by PayPal only, no exceptions!!! Non payment in 24 hours from the closing of auction will get you banned!!!
7️⃣Bidding ends when I call it around  24 hours after posting this photo. I will tag and repost hours before ending. 
Please feel free to dm me with questions. 
Happy bidding!
#glassauction #flamework #flameworking #lampwork #lampworking #glass #glassofig #headyart #glasspendant #fadedaf  #pendantsofig #leafpendant #leaf #boroleaf #boro #boroflora #borosilicate #noleafpress"
"la prima comunione di anna bubbles",0,"La prima comunione di Anna • Bubbles🎈"
"spinnerlow key bubble cap two holes nice carb flow still spins dm 1 nice say day",0,"@opinicus9 spinner/low key bubble cap! Two holes for a nice carb flow and it still spins 💯dm for 1. Have a nice say and day. #glassartist #opinicus9 #madlib #inception #spinner #glassspinner #bubblecap #710society #420jazz #dabs  #420glass #totem #art #functionalart #carbcap"
"rig clear natural sunlight multi color uv blacklight glows dark lights like grab either rig pendant deal",0,"#nolight #SALE @berzerker_glass rig is clear in the natural sunlight, multi color UV under blacklight and glows in the dark with no lights on just like the @elboglass @moodmats Grab either the rig, pendant or both for a deal!! #PipeNJ.com 
#GlassArt 
#yoda 
#darthvader 
#starwars
#pendantsforsale 
#PendantsofIG 
#HeadyArt 
#headyglassforsale 
#headyglass"
"caged bunny come see tonight coming party",0,"🐰⛓ Caged Bunny 🙊🐰 come see her tonight at @theropecollective Coming Out Party! ⛓🐰💋"
"auct1on 18mm slide 4 hole screen mystery adventurine slide opal horn 1starts 30 2 increments 5 3 bin 100 4 ready pay auctions end 5 tag previous bidder 6 winner pay shipping 5 7 back bail get blocked 7 us canada 8 add 5 shipping",1,"💥🔥auct1on💥🔥 18mm SLIDE 4 hole screen 
Mystery adventurine slide with opal an horn
1.starts at $30
2. Increments of $5
3. BIN $100
4. Be ready to pay at auctions end
5. Tag the previous bidder
6. winner pay shipping $5
7. Back out or bail an get blocked
7. US & CANADA only
8. 🇨🇦 add $5 for shipping 
#glassforsale #glassauction #glass_of_ig #glassofig #eugeneoregon #eugeneglass  #710movement #cfl #opal #sovereigntyglass #dabbersdaily # #bowlslide #slidesofig #420 #ganjamafia #ganjalover #slidesforsale #collectorsglass #martinislide #oregonglass @oregonglassblowers #jarredbennettglass"
"puffco peaks og medusa neon lucids stock dania beach fl hookah e cigarettes mods vapor ejuice pipes waterpipes tobacco accessories glass art",0,"Puffco Peaks!! OG, Medusa, Neon, and Lucids in stock @puffco #puffco #puffcopeak Dania Beach, FL🌴 Hookah, E cigarettes, Mods, Vapor, E-juice Pipes, WaterPipes, Tobacco accessories, Glass Art and more! #smokeshop #vaporshop #daniabeach #daniabeachpier #broward  #davie #ftl #hollywood #southflorida #hookah #vapefam #vapecommunity #vapor #vaporizer #ejuice #headyart #highendglass #glassforsale #glassart #theglassmarket #functionalart #functionalglassart #headyglass #glassporn #glassfam"
"working something crazy",0,"Working on something crazy! #terpsauce #stonerfam #thousanddollarsmoke #dabsociety #bubblecap"
"auction 7 minitube 4 hole diffy 14mm joint 25mm flat top 6mm quartz bead v3 bubble cap included starts 40 please bid increments 5 free domestic shipping 100 10 priority ends 24 hours first bid please payment ready flakesfake bidders blocked keep honest thanks support",1,"🔥🔥AUCTION🔥🔥
💎 7"" minitube with a 4 hole diffy & 14mm joint.💎
✔25mm flat top, 6mm quartz bead & V3 bubble cap included.✔
💲Starts at $40. Please bid in increments of $5 or more.💲
✈Free domestic shipping over $100, or $10 for priority if below.✈
⏳Ends 24 hours after the first bid.⏳
🔞Please be payment ready. All flakes/fake bidders will be blocked. Keep it honest.🔞
Thanks for your support!🙏✌
.
.
.
#glass #glassart #lampwork #smoke #420 #710 #lapine #centraloregon #Oregon #oregonmade  #westcoast #highdesert #dabs #wax #shatter #rosin  #shatterday #bubblecap #bubblecaps #thermal #carbcap #topshelf #weshoulddab #weshouldsmoke #progress #hardwork #handspun #handmade #art"
"set 4 buddy sold",0,"Set 4 a buddy SOld!!!!!!!!! #glassofig #glasspipes #pipesofig #headyglass #glass420 #glassart #artglass #chong #minirig #10mm #dab #mini #bubblecap #carbcap #710"
"badger x jet black dry looking home dm details",0,"Badger x Jet Black dry is looking for its home. DM for details. 🌹

#BrainFreeZeBoro
#Classic
#Glass
#FUNctionalGlassArt
#GlassPipe
#GlassofIG
#OprahsBookClub 
#HeadyArt
#GlassCollector 
#710Society 
#Dabbersdaily 
#BrainFreeZe 
#DryGuy
#DryPipe 
#HandBlown
#DailyDriver
#Colorado"
"honeycomb homie cradles provide great function containing anything else need keep table",0,"More Honey-Comb #DabCoasters #Bubblecapholders from the homie @bubblecapdonuts. These Cradles Provide Great Function for Containing You’re #terppearls #bubblecaps & ANYTHING Else You Need to Keep Off the Table! 🍩🔌🐝
🍩
#bubblecapdonuts #bubblecapdonut #color #colors #art #artist #artistsoninstagram #concentrates #bubblecap #california #colorado #washington #710society #420 #headyglass #headys #smokeshop #headshop #enail #weed #cannabis #hash #rosin #resin #thc #smokesesh"
"little gem made mint crushed opal lucy bluedream piece baller dont think possibly capture crushed opals shining photograph quickly scooped homie resides amazing collection thanks looking",0,"This little gem is made with @grandpaglass mint crushed opal, over lucy, with @glassalchemy bluedream under all that💎❤ this piece is so baller, i don't think i can possibly capture all the crushed opals shining in a photograph 🔥 quickly scooped by the homie @tripl_o and resides in his amazing collection 🙏🤝❤ Thanks for looking 🙌
#fupaglass #glass #boro #glassofig #errl #headyglass #dabstagram #fupa #monster #glassofig #dabs #rigs #10mm #glassjaw #glasseye #eye  #headyglassforsale #sculpture #character #mmj #shatter #rigsofig #fuledbythc #oprahsbookclub #fortwayne #fortwayneart #headyart #glassalchemy #420 #710"
"cfl shifts robbins egg blue swipe vid comes matching bubble cap ones sold",0,"Cfl shifts to a Robbins egg blue, swipe for a vid, comes with a matching bubble cap, this ones sold 🙏 #minitube #oprahsbookclub #glassart #dabbersunite #headyglassart #pendantsofig #glasscollector #glassforsale #katopod #bestofglass #dabbersofig #dabbersdaily #headypendant #headyglass #thousanddollsrsmoke #thousanddollarglass #boroballers #boroforsale #glass4sale #glassgallery #smokeshop #headshop #flglass #cflglass #greasyglass #bubbletrap #bubblecap #cfl #mitoa"
"bubble cap made raindrop",0,"@puffco Bubble Cap made with @glassalchemy Raindrop! .
.
.
#glassofig#heady#headyglass#headies#dabs#puffco#puffcopeak#bubblecap#glassforsale#carbcap#glassporn#710#420#glassauction#cannabis#hightimes#boro"
"trip coalescence original art follow",0,"What a Trip🖖🏾👽 - Coalescence
>>::<>::][::<⊙>::][::<>::<<
#shamanism #mysticism #psychedelia #psychedelics #psyart #futuristic #visionaryart #shaman #brc #ethereal #celestial #astral #luminous #galactic #visions #blackrockcity #electricforest #galaxies #ayahuasca #psytrance #psychedelictrance #fractal #trippyart #headyart #connected #quantum #ThirdEye #DMT #Holographic 
Original art from @samuelfarrand <~Follow Him!!!"
"24 hour auction queen bee pendant leave bids comments artist 2 x 2 inches l x w auction rules starting bid 70 bid increments 10 minimum tag person outbid highest bidder wins free international shipping credit debit card ends thursday 700 pm et shipping week optional add handmade parachute necklace 10 247 support available payment due immediately conclusion auction failure pay block",1,"🚨24 Hour Auction🚨
Queen bee pendant. Leave your bids in the comments below!
Artist: @glyph_glass
(2 x 2 inches) (L x W)
👇👇AUCTION RULES👇👇
👉Starting Bid: $70
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Thursday 7:00 P.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass"
"maple syrup faceted cap available great price caps function amazing perfect seal smooth swivel facet cuts adding subtle touch aesthetics available fresh quartz great combo deal send us dm youre interested",0,"Maple Syrup faceted cap by @gaspareti710 available for a great price!👌 These caps function amazing with the perfect seal and smooth swivel!💯💯 Facet cuts adding a subtle touch to the aesthetics!💎💎
Available by itself or with some fresh quartz for a great combo deal! Send us a DM if you're interested!"
"smoking rig available sword banger",0,"Smoking on some #diamondog
Rig by @djack__ × @gonzoe_1 (Available) 
#bubblecap by @grasshoppa_glass
Sword by @tv.visuals
Banger by @highlyeducatedti
.
.
.
🤔#concentrate on #concentrates 🤔
#meltshot #stayhigh #highaf #highsociety #dabnation #cannabiscommunity #stoner #stonersociety #dab #shatter #budder #cannabis #gavel #stoned #weshouldsmoke #dabs #dabbersdaily #dabbing #glob #og #medicalmarijuana #medicalcannabis #terps #thca #indica #sativa"
"bubble cap drop 40 shipped single colors 60 shipped multi colored reiti one",0,"@chillrelaxglass bubble cap drop💪🏼🙌🏼 40$ shipped for single colors, and 60$ shipped for the multi colored and reiti one📲
#chillrelaxglass
#bubblecap
#EastCoastDabbers
#710 #Shatter
#MothershipGang
#ThousandDollarSmoke
#HighlyEducatedTi
#MothershipGlass
#HeadyGlass
#HighlyEducated 
#MothershipForSale
#GlassForSale
#BuySellTradeGlass
#TopShelfLife #HoverGang
#PokerLife #BoroForTrade
#highsociety #ToroGlass
#GlassForTrade #GlassOfIg
#Hovercap #quartz
#Mothership #Meltshot
#HeadyGlassForSale
#Melt #glassgamestrong"
"foode 112",0,"Food-E 11-2"
"10 42 left 2nd set",0,"10 out of 42 left out of my 2nd set #bubbletrap #silverfume #goldfumed #710 #710community #bubblecap #hash #heady #headyglass #headyart #bubblecapsforsale #420vibes"
"one favorite pieces guy years realized entire head turns radioactive pink certain uv light died looked pendy saw heater artist",0,"One of my favorite pieces 😍 So I’ve had this guy for years and just realized the entire head turns radioactive pink under certain UV light. I about died when I looked down at my pendy and saw that heater 😮😵🙌 [ Artist @glyph_glass ]
.
.
.
#glassart #glassofig #headyglass #pendy #glassforsale #glassauction #pendantsforsale #pendants #talisman #lostmarblefound #710society #420community #headshop #smokeshop #hempfest #positivevibesonly #thirdeye #glassvegas #vegasartist #loudtreelabel #headyart #glassblowing #thirdeyebuddha #trippyart #buddhahead #buddhistart #psychedelicart #borosilicate #glyphglass"
"inlove carb cap stands",0,"Inlove with these carb cap stands 👌👌 @daft_atx @thenotoriouspak #madscientistmarket"
